sample	estimated_genome_size	is_paired	original_total_bp	original_coverage	original_read_total	original_read_min	original_read_mean	original_read_std	original_read_median	original_read_max	original_read_25th	original_read_75th	original_qual_min	original_qual_mean	original_qual_std	original_qual_max	original_qual_median	original_qual_25th	original_qual_75th	final_total_bp	final_coverage	final_read_total	final_read_min	final_read_mean	final_read_std	final_read_median	final_read_max	final_read_25th	final_read_75th	final_qual_min	final_qual_mean	final_qual_std	final_qual_max	final_qual_median	final_qual_25th	final_qual_75th	contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_n	contig_percent_t	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	contigs_greater_1m	l50_contig_count	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	num_contig_non_acgtn	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k	percent_contigs_greater_1m	total_contig	total_contig_length	annotation_organism	annotation_contigs	annotation_bases	annotation_CDS	annotation_gene	annotation_rRNA	annotation_tRNA	annotation_tmRNA	rank	reason	annotation_repeat_region
ERX3291129	1860196	True	167262953	89.917	746652	50	224.017	46.033	246	251	219.500	250.500	22	35.347	2.382	38	36	34	37	166224571	89.359	746622	37.500	222.636	46.455	245	250	217.500	250	22	35.387	2.368	38	36	34.500	37	0.00	31.11	19.26	18.79	0.00	30.85	4	41	56	0	11	142958	29205	18450	601	57236	0	6.45	66.13	90.32	0.00	62	1810722	Haemophilus influenzae strain	62	1810722	1736	1789	4	48	1	silver	Low coverage (89.36x, expect >= 100.0x)	
ERX3291130	1860196	True	339390286	182.449	1478718	50	229.517	42.171	250	251	232.500	251	22.500	36.112	2.114	38	36.500	35.500	37.500	186019475	100.000	814964	43	228.255	42.584	250	250	230	250	23	36.149	2.094	38	36.500	35.500	37.500	0.00	30.77	19.06	18.95	0.00	31.22	7	24	35	0	6	226409	46566	27420	601	117841	0	17.95	61.54	89.74	0.00	39	1816079	Haemophilus influenzae strain	39	1816079	1750	1807	5	51	1	gold	passed all cutoffs	
ERX3291131	1860196	True	224657718	120.771	976840	50	229.984	42.643	250	251	232.500	251	23	35.961	2.205	38	36.500	35.500	37.500	186019549	100.000	813310	38	228.719	43.085	250	250	230	250	22.500	35.996	2.186	38	36.500	35.500	37.500	0.00	30.96	19.18	18.84	0.00	31.02	6	24	36	0	5	383432	44234	14463	561	139992	0	14.63	58.54	87.80	0.00	41	1813619	Haemophilus influenzae strain	41	1813619	1749	1804	4	50	1	gold	passed all cutoffs	
ERX3291132	1860196	True	334654990	179.903	1467038	50	228.116	43.057	249.500	251	230	250.500	22	36.058	2.127	38	36.500	35.500	37.500	186019884	100.000	820218	44	226.793	43.512	247.500	250	227.500	250	22.500	36.095	2.107	38	36.500	35.500	37.500	0.00	31.00	18.80	19.27	0.00	30.93	4	23	34	0	6	401066	54461	39949	603	96572	0	11.43	65.71	97.14	0.00	35	1906138	Haemophilus influenzae strain	35	1906138	1852	1907	4	50	1	gold	passed all cutoffs	
ERX3291133	1860196	True	261960619	140.824	1154876	50	226.830	44.481	249.500	251	227	250.500	23	35.833	2.231	38	36.500	35	37.500	186019465	100.000	825148	41.500	225.438	44.984	247.500	250	225	250	22.500	35.871	2.212	38	36.500	35	37.500	0.00	30.98	19.09	18.91	0.00	31.02	5	22	28	0	4	526721	56769	27492	601	140015	0	15.62	68.75	87.50	0.00	32	1816626	Haemophilus influenzae strain	32	1816626	1750	1807	5	51	1	gold	passed all cutoffs	
ERX3291134	1860196	True	259631453	139.572	1135064	50	228.737	42.581	249.500	251	229	250.500	22.500	35.753	2.235	38	36	34.500	37.500	186019545	100.000	817938	39	227.425	43.013	247.500	250	225	250	22.500	35.791	2.217	38	36.500	35.500	37.500	0.00	30.90	19.18	18.84	0.00	31.08	5	28	39	0	7	257589	41267	16993	597	79167	0	11.36	63.64	88.64	0.00	44	1815760	Haemophilus influenzae strain	44	1815760	1748	1806	6	51	1	gold	passed all cutoffs	
ERX3291135	1860196	True	378533016	203.491	1763558	50	214.642	53.671	249.500	251	187	250.500	22	36.464	2.176	38	37.500	36	38	186019478	100.000	872738	41.500	213.144	54.160	247.500	250	185	250	23	36.482	2.164	38	37.500	36	38	0.00	30.81	19.07	18.96	0.00	31.16	4	29	41	0	8	200156	41197	29704	601	69490	0	9.09	65.91	93.18	0.00	44	1812693	Haemophilus influenzae strain	44	1812693	1743	1800	5	51	1	gold	passed all cutoffs	
ERX3291136	1860196	True	317632888	170.752	1402524	50	226.472	43.771	248.500	251	224	250.500	22.500	35.647	2.256	38	36	35	37	186019393	100.000	826316	39	225.119	44.243	247.500	250	220	250	23	35.686	2.242	38	36	35	37.500	0.00	30.95	19.33	18.68	0.00	31.03	6	29	41	0	6	200235	39470	18996	601	117518	0	13.04	63.04	89.13	0.00	46	1815659	Haemophilus influenzae strain	46	1815659	1747	1806	6	52	1	gold	passed all cutoffs	
ERX3291137	1860196	True	217207424	116.766	946716	50	229.433	42.702	249.500	251	231	250.500	22	35.757	2.282	38	36.500	35	37.500	186019495	100.000	815370	37	228.141	43.121	247.500	250	227.500	250	22	35.795	2.263	38	36.500	35	37.500	0.00	30.93	19.15	18.86	0.00	31.06	6	22	35	0	5	383476	43214	11948	601	140380	0	14.29	52.38	83.33	0.00	42	1815005	Haemophilus influenzae strain	42	1815005	1749	1806	6	50	1	gold	passed all cutoffs	
ERX3291138	1860196	True	198939180	106.945	871474	50	228.279	43.697	249.500	251	228.500	250.500	22.500	35.554	2.334	38	36	34.500	37.500	186019234	100.000	819694	37	226.938	44.141	247.500	250	225	250	22.500	35.593	2.317	38	36	34.500	37.500	0.00	31.09	19.27	18.78	0.00	30.86	4	37	51	0	10	139818	32925	22314	601	61878	0	7.27	67.27	92.73	0.00	55	1810907	Haemophilus influenzae strain	55	1810907	1738	1793	6	48	1	gold	passed all cutoffs	
ERX3291139	1860196	True	210106091	112.948	934558	50	224.819	47.692	249.500	251	225	250.500	22.500	35.654	2.306	38	36	34.500	37.500	186019634	100.000	832606	38	223.418	48.175	247.500	250	222.500	250	22.500	35.690	2.290	38	36.500	34.500	37.500	0.00	31.12	19.26	18.81	0.00	30.80	2	43	68	0	12	103823	24080	14857	586	46697	0	2.67	57.33	90.67	0.00	75	1806012	Haemophilus influenzae strain	75	1806012	1729	1783	5	48	1	gold	passed all cutoffs	
ERX3291140	1860196	True	94327907	50.709	421138	50	223.983	51.346	250	251	227.500	251	22.500	35.893	2.436	38	36.500	35	37.500	93780602	50.414	421114	49	222.697	51.773	250	250	225	250	22.500	35.909	2.424	38	36.500	35.500	37.500	0.00	30.98	19.09	19.21	0.00	30.72	0	62	157	0	30	61235	10415	6838	516	19092	0	0.00	34.64	87.71	0.00	179	1864447	Haemophilus influenzae strain	179	1864447	1773	1822	4	44	1	silver	Low coverage (50.41x, expect >= 100.0x);Too many contigs (179, expect <= 100)	
ERX3291141	1860196	True	300991061	161.806	1322688	50	227.560	43.901	250	251	228	251	22	36.168	2.268	38	37	35.500	37.500	186019493	100.000	821992	38.500	226.303	44.285	250	250	225	250	23	36.191	2.254	38	37	35.500	37.500	0.00	30.93	19.16	18.85	0.00	31.06	5	22	30	0	5	344172	55047	26810	610	113606	0	15.15	66.67	90.91	0.00	33	1816568	Haemophilus influenzae strain	33	1816568	1747	1805	6	51	1	gold	passed all cutoffs	
ERX3291142	1860196	True	168012066	90.320	759840	50	221.115	46.148	239.500	251	213.500	250.500	22.500	34.888	2.497	38	35.500	33.500	37	166904733	89.724	759792	37	219.672	46.551	237.500	250	210	250	22.500	34.930	2.485	38	35.500	33.500	37	0.00	30.88	18.88	19.23	0.00	31.01	3	42	69	0	12	140186	26726	17561	806	52284	0	4.23	59.15	97.18	0.00	71	1897557	Haemophilus influenzae strain	71	1897557	1836	1888	3	48	1	silver	Low coverage (89.72x, expect >= 100.0x)	
ERX3291143	1860196	True	248513102	133.595	1140086	50	217.978	47.663	235.500	251	210	250.500	22.500	34.905	2.438	38	35.500	34	36.500	186019183	100.000	859024	38	216.547	47.995	235	250	207.500	250	22.500	34.950	2.426	38	35.500	34	37	0.00	31.00	18.88	19.19	0.00	30.93	5	34	46	0	8	238043	39679	28536	632	69207	0	10.42	70.83	95.83	0.00	48	1904605	Haemophilus influenzae strain	48	1904605	1848	1901	4	48	1	gold	passed all cutoffs	
ERX3291144	1860196	True	297579653	159.972	1333504	50	223.156	45.391	246	251	219	250.500	22.500	35.477	2.360	38	36	34.500	37	186019572	100.000	838888	41	221.745	45.812	245	250	217.500	250	23	35.515	2.345	38	36	34.500	37	0.00	30.96	19.30	18.70	0.00	31.03	8	24	35	0	6	215403	47783	22703	610	117456	0	21.05	63.16	92.11	0.00	38	1815785	Haemophilus influenzae strain	38	1815785	1750	1806	4	51	1	gold	passed all cutoffs	
ERX3291145	1860196	True	340150709	182.857	1512734	50	224.858	46.769	250	251	220	251	22	36.376	2.199	38	37.500	36	38	186019695	100.000	832330	38	223.493	47.260	250	250	217.500	250	22.500	36.396	2.185	38	37.500	36	38	0.00	30.96	18.80	19.27	0.00	30.97	6	26	40	0	5	357547	46471	20176	685	110618	0	14.63	63.41	97.56	0.00	41	1905349	Haemophilus influenzae strain	41	1905349	1849	1905	5	50	1	gold	passed all cutoffs	
ERX3291146	1860196	True	209737788	112.750	941774	50	222.705	46.633	244.500	251	218	250.500	22.500	35.239	2.456	38	36	34	37	186019420	100.000	840492	39	221.322	47.036	242.500	250	215	250	22.500	35.281	2.440	38	36	34	37	0.00	30.94	19.29	18.75	0.00	31.02	6	30	41	0	7	183216	39369	19493	601	94404	0	13.04	65.22	89.13	0.00	46	1811003	Haemophilus influenzae strain	46	1811003	1744	1800	5	50	1	gold	passed all cutoffs	
ERX3291147	1860196	True	270777516	145.564	1223112	50	221.384	46.708	243	251	216.500	250.500	22	35.258	2.426	38	36	34	37	186019509	100.000	845648	39	219.972	47.100	242.500	250	215	250	22	35.298	2.410	38	36	34	37	0.00	30.92	19.19	18.85	0.00	31.05	4	36	47	0	10	156407	34838	21258	572	58611	0	7.69	69.23	90.38	0.00	52	1811620	Haemophilus influenzae strain	52	1811620	1739	1797	5	52	1	gold	passed all cutoffs	
ERX3291148	1860196	True	234640850	126.138	1033124	50	227.118	44.224	249.500	251	226	250.500	23	35.638	2.312	38	36	34.500	37.500	186019328	100.000	823916	43	225.774	44.674	247.500	250	222.500	250	23	35.678	2.296	38	36	34.500	37.500	0.00	30.93	19.16	18.88	0.00	31.03	6	35	48	0	8	165851	33552	18178	601	70471	0	11.11	64.81	88.89	0.00	54	1811849	Haemophilus influenzae strain	54	1811849	1742	1798	5	50	1	gold	passed all cutoffs	
ERX3291149	1860196	True	240336264	129.199	1058864	50	226.976	43.789	249	251	225.500	250.500	23	35.611	2.260	38	36	35	37	186019439	100.000	824506	39	225.613	44.234	247.500	250	222.500	250	23	35.650	2.244	38	36	35	37.500	0.00	30.91	19.15	18.88	0.00	31.06	5	31	44	0	7	200096	36292	19264	601	95014	0	10.00	62.00	88.00	0.00	50	1814626	Haemophilus influenzae strain	50	1814626	1744	1804	7	52	1	gold	passed all cutoffs	
ERX3291150	1860196	True	246205573	132.355	1091914	50	225.481	44.782	248.500	251	222.500	250.500	22	35.610	2.287	38	36	35	37	186019282	100.000	829990	39	224.123	45.227	247.500	250	220	250	22	35.648	2.272	38	36.500	35	37.500	0.00	30.98	19.12	18.89	0.00	31.02	4	21	30	0	4	526713	50467	14292	600	140020	0	11.11	58.33	83.33	0.00	36	1816835	Haemophilus influenzae strain	36	1816835	1750	1806	5	50	1	gold	passed all cutoffs	
ERX3291151	1860196	True	182486494	98.101	811112	50	224.983	47.450	250	251	225.500	251	22	35.975	2.395	38	36.500	35.500	37.500	181400579	97.517	811058	38	223.659	47.885	250	250	225	250	22	35.998	2.380	38	36.500	35.500	37.500	0.00	31.06	19.29	18.72	0.00	30.93	6	19	32	0	4	383473	50451	12344	601	143057	0	16.67	52.78	88.89	0.00	36	1816270	Haemophilus influenzae strain	36	1816270	1750	1806	4	51	1	silver	Low coverage (97.52x, expect >= 100.0x)	
ERX3291152	1860196	True	212910651	114.456	958976	50	222.019	44.382	240.500	251	216.500	250.500	22.500	34.609	2.407	38	35.500	33.500	36	186019534	100.000	843536	42	220.524	44.751	240	250	215	250	22	34.656	2.393	38	35.500	33.500	36	0.00	31.22	19.32	18.76	0.00	30.70	5	24	37	0	5	397500	50109	30626	546	110551	0	13.16	63.16	97.37	0.00	38	1904164	Haemophilus influenzae strain	38	1904164	1854	1908	5	48	1	gold	passed all cutoffs	
ERX3291153	1860196	True	211917553	113.922	998880	50	212.156	53.117	234	251	197.500	250	22.500	34.609	2.551	38	35.500	33.500	36.500	186019718	100.000	883192	38	210.622	53.482	232.500	250	195	247.500	22	34.652	2.537	38	35.500	33.500	36.500	0.00	30.93	19.18	18.87	0.00	31.02	3	40	63	0	11	165989	26217	14455	601	46884	0	4.35	57.97	91.30	0.00	69	1808986	Haemophilus influenzae strain	69	1808986	1734	1788	4	49	1	gold	passed all cutoffs	
ERX3291154	1860196	True	251359050	135.125	1100658	50	228.371	42.347	249.500	251	227	250.500	22	35.472	2.308	38	36	34.500	37	186019550	100.000	819240	36	227.064	42.766	247.500	250	225	250	22	35.511	2.290	38	36	34.500	37	0.00	30.97	19.07	18.92	0.00	31.03	6	19	30	0	4	318319	51925	14479	601	143032	0	17.14	54.29	85.71	0.00	35	1817375	Haemophilus influenzae strain	35	1817375	1748	1806	6	51	1	gold	passed all cutoffs	
ERX3291155	1860196	True	273572346	147.066	1190350	50	229.825	41.655	249.500	251	230.500	250.500	22.500	35.774	2.253	38	36.500	35	37.500	186019433	100.000	813922	39	228.547	42.067	247.500	250	227.500	250	23	35.811	2.236	38	36.500	35	37.500	0.00	30.98	19.24	18.76	0.00	31.02	7	19	30	0	4	296901	49104	10202	513	143139	0	18.92	51.35	81.08	0.00	37	1816866	Haemophilus influenzae strain	37	1816866	1749	1806	5	51	1	gold	passed all cutoffs	
ERX3291156	1860196	True	170399196	91.603	850748	50	200.293	55.395	221.500	251	161	249.500	22.500	34.475	2.731	38	35	33	36.500	168904389	90.799	850720	43.500	198.543	55.780	220	250	160	247.500	22.500	34.502	2.717	38	35	33	36.500	0.00	30.95	19.00	19.00	0.00	31.05	5	22	34	0	4	343514	47817	14382	601	143101	0	13.16	57.89	89.47	0.00	38	1817076	Haemophilus influenzae strain	38	1817076	1746	1803	4	52	1	silver	Low coverage (90.80x, expect >= 100.0x)	
ERX3291157	1860196	True	164808073	88.597	987068	50	166.967	69.504	167	251	102.500	246.500	22.500	36.829	1.753	38	37.500	36.500	38	163003297	87.627	986856	38	165.174	69.846	164	250	100	245	22.500	36.838	1.736	38	37.500	36.500	38	0.00	31.02	19.18	18.81	0.00	30.99	4	16	25	0	3	527226	62610	11423	601	257119	0	13.79	55.17	86.21	0.00	29	1815707	Haemophilus influenzae strain	29	1815707	1744	1799	4	50	1	silver	Low coverage (87.63x, expect >= 100.0x)	
ERX3291158	1860196	True	248286711	133.473	1300258	50	190.952	61.278	209	251	141	249.500	23	36.672	1.857	38	37.500	36	38	186019523	100.000	982920	39	189.252	61.653	207.500	250	137.500	247.500	23.500	36.692	1.838	38	37.500	36	38	0.00	31.02	19.18	18.82	0.00	30.98	5	14	23	0	3	526693	67327	10202	601	257134	0	18.52	51.85	85.19	0.00	27	1817845	Haemophilus influenzae strain	27	1817845	1747	1803	4	51	1	gold	passed all cutoffs	
ERX3291159	1860196	True	283517760	152.413	1718138	50	165.014	69.120	162.500	251	101.500	245.500	23	36.972	1.655	38	37.500	36.500	38	186019666	100.000	1140104	38	163.160	69.500	160	250	100	245	23	36.979	1.639	38	37.500	36.500	38	0.00	30.99	19.16	18.82	0.00	31.03	6	21	30	0	5	318099	55041	27812	601	112787	0	18.18	63.64	90.91	0.00	33	1816376	Haemophilus influenzae strain	33	1816376	1744	1800	4	51	1	gold	passed all cutoffs	
ERX3291160	1860196	True	325600218	175.035	1799220	50	180.968	65.540	192	251	123	249.500	22.500	36.772	1.790	38	37.500	36.500	38	186019831	100.000	1038110	38	179.191	65.894	190	250	120	247.500	23	36.783	1.775	38	37.500	36.500	38	0.00	30.95	19.25	18.76	0.00	31.04	6	22	31	0	4	383468	53414	17253	601	143119	0	17.65	64.71	91.18	0.00	34	1816109	Haemophilus influenzae strain	34	1816109	1746	1803	4	52	1	gold	passed all cutoffs	
ERX3291161	1860196	True	271159148	145.769	1478222	50	183.436	65.212	197	251	126.500	249.500	22	36.780	1.812	38	37.500	36.500	38	186019383	100.000	1023396	39	181.767	65.595	195	250	125	247.500	22.500	36.793	1.796	38	37.500	36.500	38	0.00	31.02	19.18	18.81	0.00	30.99	7	14	25	0	3	388963	62669	9769	601	257096	0	24.14	48.28	86.21	0.00	29	1817403	Haemophilus influenzae strain	29	1817403	1752	1809	5	51	1	gold	passed all cutoffs	
ERX3291162	1860196	True	288016790	154.831	1403148	50	205.264	55.793	236.500	251	167	250.500	22.500	36.523	1.923	38	37.500	36	37.500	186019484	100.000	913450	38	203.645	56.264	235	250	165	250	22.500	36.545	1.903	38	37.500	36	37.500	0.00	31.08	19.09	18.90	0.00	30.93	6	15	22	0	3	414323	72720	16650	601	257127	0	24.00	60.00	88.00	0.00	25	1818008	Haemophilus influenzae strain	25	1818008	1748	1804	4	51	1	gold	passed all cutoffs	
ERX3291163	1860196	True	378365420	203.401	1846626	50	204.896	55.326	235	251	167	250.500	22.500	36.536	1.900	38	37.500	36	37.500	186019522	100.000	914518	39	203.407	55.674	232.500	250	165	250	22	36.556	1.887	38	37.500	36	37.500	0.00	31.03	19.32	18.68	0.00	30.97	5	19	27	0	4	526709	58627	26409	601	113490	0	16.13	61.29	87.10	0.00	31	1817464	Haemophilus influenzae strain	31	1817464	1753	1810	5	51	1	gold	passed all cutoffs	
ERX3291164	1860196	True	306262984	164.640	1366200	50	224.171	47.647	250	251	218	251	22	36.299	2.246	38	37.500	36	37.500	186019435	100.000	834976	42	222.784	48.112	250	250	215	250	23	36.319	2.229	38	37.500	36	38	0.00	30.84	19.04	18.97	0.00	31.15	8	18	28	0	5	336785	56794	15572	601	139918	0	25.00	56.25	87.50	0.00	32	1817432	Haemophilus influenzae strain	32	1817432	1753	1810	5	51	1	gold	passed all cutoffs	
ERX3291165	1860196	True	109740383	58.994	602168	50	182.242	65.823	196	251	124	249.500	23	36.589	1.900	38	37.500	36	37.500	108673486	58.421	602066	39	180.500	66.199	192.500	250	122.500	247.500	23	36.605	1.883	38	37.500	36	37.500	0.00	31.00	18.99	19.24	0.00	30.78	0	55	150	0	27	74105	10357	6383	528	20979	0	0.00	31.98	87.21	0.00	172	1781475	Haemophilus influenzae strain	172	1781475	1673	1729	5	50	1	silver	Low coverage (58.42x, expect >= 100.0x);Too many contigs (172, expect <= 100)	
ERX3291166	1860196	True	79332814	42.648	390708	50	203.049	61.259	237.500	251	161.500	250.500	22	36.124	2.181	38	36.500	35.500	37.500	78709236	42.312	390640	41	201.488	61.671	237.500	250	157.500	250	22	36.148	2.162	38	36.500	35.500	37.500	0.00	31.12	19.16	18.94	0.00	30.78	1	48	87	0	15	152352	18555	9865	526	35705	0	1.03	49.48	89.69	0.00	97	1799900	Haemophilus influenzae strain	97	1799900	1713	1767	4	49	1	bronze	Low coverage (42.31x, expect >= 50.0x)	
ERX3291167	1860196	True	103955677	55.884	464222	50	223.935	49.201	249.500	251	224	251	23	35.748	2.497	38	36.500	34.500	37.500	103328280	55.547	464180	41.500	222.604	49.624	247.500	250	222.500	250	23	35.772	2.483	38	36.500	34.500	37.500	0.00	31.30	19.17	18.84	0.00	30.70	0	55	89	0	18	94431	17413	10488	521	34202	0	0.00	54.46	88.12	0.00	101	1758754	Haemophilus influenzae strain	101	1758754	1635	1691	6	49	1	silver	Low coverage (55.55x, expect >= 100.0x);Too many contigs (101, expect <= 100)	
ERX3291168	1860196	True	360581124	193.840	1629080	50	221.340	48.055	249.500	251	207	250.500	22.500	36.104	2.279	38	37	35.500	37.500	186019678	100.000	845926	39	219.900	48.519	247.500	250	205	250	23	36.126	2.265	38	37	35.500	37.500	0.00	30.87	18.97	18.96	0.00	31.20	4	28	32	0	4	345592	46814	27284	516	101611	0	10.26	71.79	82.05	0.00	39	1825754	Haemophilus influenzae strain	39	1825754	1716	1777	9	51	1	gold	passed all cutoffs	
ERX3291169	1860196	True	92665006	49.815	422024	50	219.573	52.414	248.500	251	216.500	250.500	23	35.845	2.229	38	36.500	35	37.500	92063530	49.491	421972	39	218.174	52.838	247.500	250	215	250	23	35.874	2.213	38	36.500	35.500	37.500	0.00	31.28	19.09	18.93	0.00	30.71	1	50	77	0	16	143967	19691	12526	516	36656	0	1.09	54.35	83.70	0.00	92	1811631	Haemophilus influenzae strain	92	1811631	1693	1753	7	52	1	bronze	Low coverage (49.49x, expect >= 50.0x)	
ERX3291170	1860196	True	141608277	76.125	642808	50	220.297	51.841	249.500	251	213	250.500	22.500	36.212	2.036	38	37	35.500	37.500	140689464	75.632	642700	38	218.904	52.270	247.500	250	212.500	250	22.500	36.239	2.019	38	37	35.500	37.500	0.00	31.06	18.89	19.11	0.00	30.94	1	42	73	0	13	112548	22417	11723	511	44111	0	1.23	51.85	90.12	0.00	81	1815817	Haemophilus influenzae strain	81	1815817	1702	1761	8	50	1	silver	Low coverage (75.63x, expect >= 100.0x)	
ERX3291171	1860196	True	261229893	140.431	1332840	50	195.995	62.991	229.500	251	147.500	250.500	22	36.049	2.185	38	37	35.500	37.500	186019378	100.000	957200	38	194.337	63.392	227.500	250	145	248	22	36.073	2.171	38	37	35.500	37.500	0.00	31.01	18.95	18.91	0.00	31.13	8	21	28	0	5	271002	57430	27568	518	152742	0	25.81	67.74	90.32	0.00	31	1780354	Haemophilus influenzae strain	31	1780354	1679	1734	4	50	1	gold	passed all cutoffs	
ERX3291172	1860196	True	150240550	80.766	685982	50	219.016	49.786	242	251	214.500	250.500	23	35.532	2.281	38	36.500	34.500	37	149209365	80.212	685834	43.500	217.559	50.173	240	250	212.500	250	23	35.565	2.267	38	36.500	34.500	37	0.00	30.90	18.94	19.02	0.00	31.14	7	28	44	0	8	152153	36445	19136	511	93458	0	14.00	56.00	88.00	0.00	50	1822296	Haemophilus influenzae strain	50	1822296	1711	1772	8	52	1	silver	Low coverage (80.21x, expect >= 100.0x)	
ERX3291173	1860196	True	216623570	116.452	949636	50	228.113	46.942	250.500	251	232.500	251	22	35.800	2.394	38	37	35	37.500	186019540	100.000	820016	38	226.849	47.338	250	250	230	250	22	35.818	2.380	38	37	35	37.500	0.00	31.18	19.10	18.78	0.00	30.94	6	34	41	0	7	180948	36262	23418	567	69421	0	12.24	69.39	83.67	0.00	49	1776864	Haemophilus influenzae strain	49	1776864	1676	1732	5	50	1	gold	passed all cutoffs	
ERX3291174	1860196	True	154816847	83.226	713500	50	216.982	51.786	242.500	251	204.500	250.500	22.500	35.755	2.266	38	36.500	35	37.500	153742684	82.649	713374	39	215.514	52.182	242.500	250	202.500	250	22	35.785	2.251	38	36.500	35	37.500	0.00	31.02	19.03	18.92	0.00	31.03	5	30	44	0	7	250422	36479	20519	511	85615	0	10.00	60.00	88.00	0.00	50	1823977	Haemophilus influenzae strain	50	1823977	1712	1772	9	50	1	silver	Low coverage (82.65x, expect >= 100.0x)	
ERX3291175	1860196	True	342320195	184.024	1452528	50	235.672	38.815	250.500	251	249.500	251	22	36.608	2.036	38	37.500	36.500	38	186019677	100.000	793118	39	234.542	39.171	250	250	247.500	250	22	36.627	2.020	38	37.500	36.500	38	0.00	30.96	18.98	18.93	0.00	31.13	6	21	26	0	6	250491	57059	30113	511	133898	0	18.75	65.62	81.25	0.00	32	1825912	Haemophilus influenzae strain	32	1825912	1721	1781	8	51	1	gold	passed all cutoffs	
ERX3291176	1860196	True	210309908	113.058	908650	50	231.453	44.750	250.500	251	248.500	251	23	36.465	2.153	38	37	36.500	38	186019379	100.000	807736	39	230.298	45.128	250	250	245	250	23	36.481	2.140	38	37.500	36.500	38	0.00	31.12	19.16	18.75	0.00	30.97	4	35	44	0	9	178997	36180	26643	584	57596	0	8.16	71.43	89.80	0.00	49	1772834	Haemophilus influenzae strain	49	1772834	1665	1721	5	50	1	gold	passed all cutoffs	
ERX3291177	1860196	True	269990635	145.141	1190340	50	226.818	45.810	249.500	251	228.500	250.500	22.500	36.022	2.118	38	37	35.500	37.500	186019548	100.000	824766	38	225.542	46.131	247.500	250	225	250	22.500	36.052	2.101	38	37	35.500	37.500	0.00	30.89	18.90	18.94	0.00	31.27	6	20	24	0	4	292505	63565	29879	584	218213	0	21.43	71.43	85.71	0.00	28	1779837	Haemophilus influenzae strain	28	1779837	1683	1735	3	48	1	gold	passed all cutoffs	
ERX3291178	1860196	True	93403782	50.212	420604	50	222.070	50.147	249	251	221.500	250.500	23	35.881	2.118	38	36.500	35	37.500	92801041	49.888	420514	38	220.685	50.554	247.500	250	220	250	23	35.912	2.102	38	36.500	35	37.500	0.00	31.13	19.05	18.87	0.00	30.95	2	42	61	0	11	154270	23927	10716	539	43918	0	2.70	56.76	82.43	0.00	74	1770654	Haemophilus influenzae strain	74	1770654	1660	1715	5	49	1	bronze	Low coverage (49.89x, expect >= 50.0x)	
ERX3291179	1860196	True	195876455	105.299	951292	50	205.906	55.778	236	251	171	250.500	22.500	36.519	1.897	38	37.500	36	37.500	186019550	100.000	910474	38	204.311	56.165	232.500	250	170	250	22.500	36.540	1.882	38	37.500	36	37.500	0.00	30.89	18.98	18.94	0.00	31.18	7	26	35	0	6	218013	46828	33529	511	109606	0	17.95	66.67	89.74	0.00	39	1826319	Haemophilus influenzae strain	39	1826319	1719	1782	10	52	1	gold	passed all cutoffs	
ERX3291180	1860196	True	185927074	99.950	814294	50	228.329	48.321	250.500	251	242	251	23	36.277	2.237	38	37	36	37.500	184905821	99.401	814198	40	227.102	48.745	250	250	240	250	22.500	36.292	2.225	38	37	36	37.500	0.00	30.95	18.91	19.01	0.00	31.13	7	22	29	0	5	230254	50712	26296	511	138183	0	19.44	61.11	80.56	0.00	36	1825639	Haemophilus influenzae strain	36	1825639	1718	1780	9	52	1	silver	Low coverage (99.40x, expect >= 100.0x)	
ERX3291181	1860196	True	251252307	135.068	1182558	50	212.465	53.348	244	251	185.500	250.500	22.500	36.505	1.882	38	37.500	36	37.500	186019798	100.000	881786	39	210.958	53.742	242.500	250	185	250	22.500	36.529	1.862	38	37.500	36	37.500	0.00	30.96	18.96	18.97	0.00	31.10	5	28	42	0	6	229875	40567	24016	516	94098	0	11.11	62.22	93.33	0.00	45	1825531	Haemophilus influenzae strain	45	1825531	1716	1778	10	51	1	gold	passed all cutoffs	
ERX3291182	1860196	True	190163583	102.228	923008	50	206.026	55.380	236	251	171	250.500	23	36.622	1.820	38	37.500	36	37.500	186019168	100.000	910020	39	204.412	55.785	235	250	167.500	250	23	36.643	1.803	38	37.500	36	37.500	0.00	31.14	19.11	18.77	0.00	30.97	2	40	54	0	11	153960	28633	20541	523	46582	0	3.23	64.52	87.10	0.00	62	1775263	Haemophilus influenzae strain	62	1775263	1669	1724	3	51	1	gold	passed all cutoffs	
ERX3291183	1860196	True	180158831	96.849	819896	50	219.734	54.120	250	251	215	251	22.500	35.543	2.540	38	36.500	34.500	37.500	179031770	96.243	819814	38	218.381	54.557	250	250	212.500	250	22.500	35.561	2.528	38	36.500	34.500	37.500	0.00	31.26	19.25	18.65	0.00	30.84	2	43	69	0	13	153844	24298	14534	584	41171	0	2.74	58.90	94.52	0.00	73	1773758	Haemophilus influenzae strain	73	1773758	1664	1719	4	50	1	silver	Low coverage (96.24x, expect >= 100.0x)	
